"","target","p","padj"
"CHEMBL2095165","CHEMBL2095165",0.203,1
"CHEMBL2525","CHEMBL2525",0.204,1
"CHEMBL3969","CHEMBL3969",0.204,1
"CHEMBL4497","CHEMBL4497",0.205,1
"CHEMBL1907590","CHEMBL1907590",0.206,1
"CHEMBL3880","CHEMBL3880",0.206,1
"CHEMBL5903","CHEMBL5903",0.206,1
"CHEMBL5728","CHEMBL5728",0.207,1
"CHEMBL2868","CHEMBL2868",0.208,1
"CHEMBL5514","CHEMBL5514",0.208,1
"CHEMBL2111384","CHEMBL2111384",0.209,1
"CHEMBL3382","CHEMBL3382",0.209,1
"CHEMBL5756","CHEMBL5756",0.209,1
"CHEMBL1907606","CHEMBL1907606",0.21,1
"CHEMBL6148","CHEMBL6148",0.21,1
"CHEMBL3286","CHEMBL3286",0.212,1
"CHEMBL3492","CHEMBL3492",0.212,1
"CHEMBL2706","CHEMBL2706",0.213,1
"CHEMBL4761","CHEMBL4761",0.213,1
"CHEMBL5282","CHEMBL5282",0.213,1
"CHEMBL3114","CHEMBL3114",0.214,1
"CHEMBL2487","CHEMBL2487",0.215,1
"CHEMBL4567","CHEMBL4567",0.215,1
"CHEMBL2094128","CHEMBL2094128",0.216,1
"CHEMBL2527","CHEMBL2527",0.216,1
"CHEMBL3807","CHEMBL3807",0.216,1
"CHEMBL4802","CHEMBL4802",0.216,1
